nome;link;idioma;data;local;coautoria


Apresentações no R com xaringan;https://beatrizmilz.github.io/aMostra-IME-2019-Xaringan/;Português;17/09/2019;IME/USP;Mariana Dias Guilardi


Introdução ao pacote xaringan - Criando apresentações com R;https://beatrizmilz.github.io/IME-27-08-2019/;Português;27/08/2019;IME/USP;NA

Dashboards, gráficos, mapas: Possibilidades de visualização de dados com R;https://beatrizmilz.github.io/NerdzaoWeek/;Português;02/08/2019;Meetup Nerdzão;NA

Comunicando seus resultados: Criando apresentações com R;https://beatrizmilz.github.io/IV-SER-RLadies/;Português;20/05/2019;SER 2019 - UFF;Haydee Svab


Oficina de Introdução ao R;https://beatrizmilz.github.io/Oficina_intro_R_UFABC_2018;Português;29/11/2018;UFABC;NA


R e Desafios no Projeto Temático MacroAmb;https://beatrizmilz.github.io/apresentacao_R_MMP_17-10-2018;Português;17/10/2018;IEE/USP;NA


Producing Reports with knitr and R;https://beatrizmilz.github.io/CODATASP18_knitr;Inglês;05/12/2018;2018 CODATA-RDA School of Research Data Science/ICTP-SAIFR/NCC-UNESP;NA


The Carpentries;https://beatrizmilz.github.io/slides_satRday_Carpentries/;Português;30/11/2019;SatRday São Paulo 2019;NA

Comunicando seus resultados: criando apresentações com R;https://beatrizmilz.github.io/apresentacao_RLadies_xaringan/;Português;21/11/2018;Meetup R-Ladies São Paulo;NA


